,title,year,is_Chinese_paper_lingua_f
2121097,深水油气井筒环空注氮控压机理,2015.0,Chinese
1965308,Induction of Highly Functional Hepatocytes from Human&lt;br /&gt; Umbilical Cord Mesenchymal Stem Cells by HNF4a&lt;br /&gt; Transduction,2014.0,English
1870087,GaAs Nanowires Grown by Catalyst Epitaxy for High Performance Photovoltaics,2018.0,English
2177174,Multicolor Photodetector of a Single Er3+-Doped CdS Nanoribbon,2015.0,English
1517067,两难情境下普通中学生和职校生的道德判断,2013.0,Chinese
1745703,Targeted Delivery System Based on Magnetic Mesoporous Silica Nanocomposites with Light-Controlled Release Character,2013.0,English
1428474,A Characterization of Finite Generalized Dedekind Groups,2014.0,English
1454325,Modeling the relaxation time of DNA confined in a nanochannel,2013.0,English
1630901,Modeling the microstructure random fields of soft soil in the south of China,2014.0,English
456792,主体功能区农田生态补偿的农户受偿意愿分析——以重点开发、农产品主产和生态功能区为实证,2016.0,Chinese
272522,Subnanometer Two-Dimensional Graphene Oxide Channels for Ultrafast Gas Sieving,2016.0,English
1961374,肾气丸对自然衰老大鼠睾丸生殖功能衰退的保护作用及机制研究,2018.0,Chinese
2254731,不同温度场下半固态铝-稀土合金初生相形貌研究,2015.0,Chinese
2187736,一类含有最大值项的二元时滞积分不等式的推广,2017.0,Chinese
519734,Mid-lithosphere discontinuities beneath the western and central North China Craton,2017.0,English
2032536,WDR26 promotes mitophagy of cardiomyocytes induced by hypoxia through Parkin      translocation.,2016.0,English
1466314,Preparation of Polyethylenimine-Functionalized Silica Nanotubes and Their Application for CO2 Adsorption,2014.0,English
499980,MC 法模拟计算X 射线质量衰减系数,2017.0,Chinese
877513,基于DNA自组装模型解决图的最大独立集问题,2013.0,Chinese
1853251,Graphene as Dry Adhesive Interacting with Semiconductor Substrates,2013.0,English
1003916,基于龙芯处理器的嵌入式可信解决方案,2018.0,Chinese
762848,Green electroluminescence from Tb4O7 films on silicon: Impact excitation of Tb3+ ions by hot carriers,2016.0,English
358591,Discovery of a Novel Functional Leptin Protein (LEP) in Zebra Finches: Evidence for the Existence of an Authentic Avian Leptin Gene Predominantly Expressed in the Brain and Pituitary,2014.0,English
1566509,"Seasonal variation in soil greenhouse gas emissions at three age-stages of Metasequoia glyptostroboides stands in an alluvial island, eastern China",2016.0,English
832539,Nanosphere-structured composites consisting of Cs-substituted phosphotungstates and antimony doped tin oxides as catalyst supports for proton exchange membrane liquid water electrolysis,2014.0,English
1050906,A Reduction based Method for Coloring Very Large Graphs,2017.0,English
61683,Centralizer's applications to the inverse along an element,2017.0,English
1362899,Identification of genetic loci affecting the severity of symptoms of Hirschsprung      disease in rats carrying Ednrbsl mutations by quantitative trait locus analysis.,2015.0,English
2062017,In vivo biodistribution and passive accumulation of upconversion nanoparticles in colorectal cancer models via intraperitoneal injection,2017.0,English
2038244,Block empirical likelihood for longitudinal single-index varying-coefficient model,2013.0,English
2024128,SIRT3 aggravates metformin-induced energy stress and apoptosis in ovarian cancer cells,2018.0,English
1675967,羧甲基壳聚糖/苯甲酸金属盐的制备及其防污性能研究,2012.0,Chinese
2043772,具有不规则自由表面的粘弹性介质中声波模拟的有限差分算法,2012.0,Chinese
537677,京津唐城市群土地利用变化的区域增温效应模拟,2015.0,Chinese
2302453,关注地方性氟中毒发病机制研究的重要性和热点问题,2014.0,Chinese
783536,The intensification technologies to water electrolysis for hydrogen production - A review,2014.0,English
160122,Ionic liquid electrolytes with protective lithium difluoro(oxalate)borate for high voltage lithium-ion batteries,2015.0,English
1661447,Conceptual design of the superconducting magnet for the 250 MeV proton cyclotron,2016.0,English
106363,An analytical evaluation of the solar flux density produced by a round focusing heliostat,2017.0,English
300851,"Simultaneous bioimaging recognition of Al3+ and Cu2+ in living-cell, and further detection of F- and S2- by a simple fluorogenic benzimidazole-based chemosensor",2016.0,English
697163,铋系纳米可见光催化剂的形貌调控合成及其性质相关性研究,2011.0,Chinese
2010324,异基因造血干细胞移植后60天内血小板生成素重建动力学特点及其与巨核细胞倍体分布的关系,2016.0,Chinese
691072,State-of-the-art on the production and application of carbon nanomaterials from biomass,2018.0,English
1077760,Diffusion sign subband adaptive filtering algorithm for distributed estimation,2015.0,English
1707395,永磁弧形导轨电机的三维电磁场优化分析,2014.0,Chinese
393665,从鸭腹水综合征病鸭体内分离鉴定到血清1型鸭肝炎病毒,2011.0,Chinese
1508207,"&lt;span style=&quot;font-family:Arial, Helvetica, sans-serif;color:#333333;font-size:18px;&quot;&gt;Cyano-bridged heterometallic complexes directed by binuclear copper units&lt;/span&gt;",2013.0,English
392344,Optimization of selenylation conditions for Chinese angelica polysaccharide based on immune-enhancing activity,2013.0,English
495550,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,2018.0,English
1829999,Efficient Keyword Search for Public-Key Setting,2015.0,English
280909,Copper Catalyzed Highly Regioselective Benzylic C&amp;ndash;H Amination by N-Fluorobenzenesulfonimide,2012.0,English
1467927,Facile synthesis of Mo-Ni particles and their effect on the electrochemical kinetic properties of La-Mg-Ni-based alloy electrodes,2014.0,English
1431793,Skill complementarity enhances heterophily in collaboration networks,2016.0,English
1007379,一种含次级通道在线辨识的窄带主动噪声控制系统,2011.0,Chinese
1511972,利用高校植物组织培养实验普及生物学知识的探索与实践,2018.0,Chinese
572538,基于改进的最小二乘支持向量机的闸首渗流监控模型研究,2014.0,Chinese
213176,Synthesis of Pt@NH2-MIL-125(Ti) as a photocathode material for photoelectrochemical hydrogen production,2013.0,English
1954662,Irf6-Related Gene Regulatory Network Involved in Palate and Lip Development,2015.0,English
1594571,我国移居老年人的居住意识研究,2011.0,Chinese
2124511,Formalizing and implementing types in msvl,2014.0,English
846177,Electronic structure variation of the surface and bulk of a LiNi0.5Mn1.5O4 cathode as a function ofstate of charge: X-ray absorption spectroscopic study,2014.0,English
832592,Study and application on the kinetic parameters of elastic wave for the engineering rockmass,2013.0,English
108970,Ramanujan-type congruences for overpartitions modulo 5,2015.0,English
1847806,3D target detection and tracking based on scene flow,2016.0,English
956081,室内平面图分块矢量化与高效三维建筑建模,2012.0,Chinese
37865,Electron collisionless damping of the geodesic acoustic mode in rotating tokamak plasmas,2016.0,English
1075887,A Study of the post-hydrogenation passivation mechanism of crystallization poly-Si films,2012.0,English
1791576,Model research on CFBB’s boiler efficiency based on an improved online learning neural network,2017.0,English
2055756,Activatable smart nanoprobe for sensitive endogenous MMP2 detection and fluorescence imaging-guided phototherapies,2019.0,English
582034,Vertically Aligned CNT-Cu Nano-composite Material for Stacked Through-silicon-via Interconnects,2016.0,English
1259620,Expedient synthesis of epigoitrin from L-ascorbic acid,2014.0,English
96768,On polynomial integrability of the Euler equations on so(4),2015.0,English
2208824,Ano1在心脏成纤维细胞中的功能表达及其意义,2017.0,Chinese
1590472,填埋场中硫化氢恶臭污染防治技术研究进展,2015.0,Chinese
1958620,Stable gene-silence of Kif2a synergistic with 5-fluorouracil suppresses oral tongue squamous cell carcinoma growth in vitro and in vivo,2013.0,English
872242,基于属性加密的组合文档安全自毁方案,2014.0,Chinese
997342,Localization algorithm in wireless sensor networks based on multiobjective particle swarm optimization,2015.0,English
1434916,Electrically Driven Reversible Insulator−Metal Phase Transition in 1T-TaS2,2015.0,English
2144885,一类单中心二次可积系统的Abel积分零点个数,2012.0,Chinese
2314717,Preparation and in vitro and in vivo evaluations of 10 hydroxycamptothecin liposomes modified with stearyl glycyrrhetinate,2019.0,English
1946663,Self-adaptive ant colony optimization for construction time-cost optimization,2013.0,English
705649,ON CHAIN RULE IN FRACTIONAL CALCULUS,2016.0,English
1880320,Excess Propagation Loss of Semi-Closed Obstacles for Inter/Intra-Device Communications in the Millimeter-Wave Range,2016.0,English
2037814,A switching model for the impact of toxins on the spread of infectious diseases,2018.0,English
292489,具有多级微纳结构的石墨烯基锂电池负极材料的设计合成,2012.0,Chinese
2062000,Fast fabrication of transparent and multi-luminescent TEMPO-oxidized nanofibrillated cellulose nanopaper functionalized with lanthanide complexes,2015.0,English
2097319,Phase structure and electrical properties of 0.965(K0.45Na0.55)0.95Ag0.05(Nb1xSbx)O3–0.035Bi0.5(Na0.5Li0.5)0.5ZrO3lead-free ceramics,2015.0,English
1091857,Empirical Study on the Effect of Jiangsu Province on Logistics FDI in opening situation,2015.0,English
906191,Compact Differential Ultra-Wideband Bandpass Filter With Common-Mode Suppression,2012.0,English
1375614,Localization of a two-component Bose–Einstein condensate in a one-dimensional random potential,2015.0,English
1318375,胡黄连苷Ⅱ对脑缺血损伤后细胞外信号调节蛋白激酶通路的影响及神经保护作用,2016.0,Chinese
119112,Coupling between backscattering and geo-acoustic parameters in reverberation inversion,2010.0,English
1567339,免疫学技术在食源性微生物检测中的应用综述,2014.0,Chinese
642532,Smart elasto-magneto-electric (EME) sensors for stress monitoring of steel cables: design theory and experimental validation,2014.0,English
1369507,Uncertainty measure based on evidence theory,2013.0,English
473742,Reversible Fe(II) uptake/release by magnetite nanoparticles,2018.0,English
817147,Investigation on Characteristics of Liquefied Products from Solvolysis Liquefaction of Chlorella pyrenoidosa in Ethanol-Water Systems,2016.0,English
226429,"Highly selective semihydrogenation of phenylalkynes to (Z)-styrenes using Hantzsch ester 1,4-dihydropyridine catalyzed by Pd/C",2010.0,English
250285,Targeting thioredoxin reductase by plumbagin contributes to inducing apoptosis of HL-60 cells,2017.0,English
1508203,Hydrothermal Synthesis and Characterization of a Novel 1D Zn(II)-Triazole Framework Containing Infinite Zn-O-Zn Connectivity,2014.0,English
865121,Optimization and Mechanism on Chemical Mechanical Planarization of Hafnium Oxide for RRAM Devices,2014.0,English
2074560,Coexistence of nearly neutral species,2012.0,English
949061,Image encryption method based on hill matrix and dynamic DNA encoding,2018.0,English
580008,Micro- and mesoporous-enriched carbon materials prepared from a mixture of petroleum-derived oily sludge and biomass,2018.0,English
1197853,Production of CCL20 from lung cancer cells induces the cell migration and proliferation through PI3K pathway,2016.0,English
1875478,Basic Universal Triple I Restriction Methods for FMP Problem,2012.0,English
1305573,Long non‐coding RNA highly up‐regulated in liver cancer  promotes epithelial‐to‐mesenchymal transition process in oral  squamous cell carcinoma,2019.0,English
1734292,Several applications of molten saltelectrochemistry to energy storage materials and technologies,2015.0,English
103217,Enhancement of thermospin effect in germanene based normal/ferromagnetic stub/normal junction,2015.0,English
2322935,转化生长因子-β1诱导骨髓间充质干细胞向髓核样细胞转化的研究,2015.0,Chinese
742607,Study of TiO2 anatase nano and microstructures with dominant {001} facets for NO oxidation,2012.0,English
644347,磷对半水硫酸钙晶须形貌的影响,2012.0,Chinese
1944524,股权集中度和公司绩效关系再研究——来自后股改时代的新证据,2012.0,Chinese
838362,Influence of electric current pulses on the solidification of Cu-Bi-Sn immiscible alloys,2015.0,English
1209491,"Improved oral bioavailability of 20(R)-25-methoxyl-dammarane-3 beta, 12 beta, 20-triol using nanoemulsion based on phospholipid complex: design, characterization, and in vivo pharmacokinetics in rats",2016.0,English
322067,基于RNA-Seq技术分析白藜芦醇对副溶血弧菌生物被膜的抑制作用,2016.0,Chinese
1056396,Dynamically constructing and maintaining virtual access points in a macro cell with selfish nodes,2015.0,English
1244062,Association between leukocyte telomere length and glioma risk: a case-control study.,2014.0,English
2318547,龙蛭汤对衣霉素诱导人脐静脉内皮细胞内 GRP78 和 CHOP 的影响,2019.0,Chinese
2300705,对氧磷酶1 rs662位点单核苷酸多态性与氟骨症关系的病例对照研究,2018.0,Chinese
1906760,A Shadow-Based Simulation Framework for Interaction Game,2016.0,English
2037690,"The Driving Force for 2014 Dengue Outbreak in Guangdong, China",2016.0,English
2218239,民勤绿洲区苜蓿地土壤有机碳组分分布特征,2017.0,Chinese
2247210,钨产品及其深加工研究,2015.0,Chinese
2318464,谷氨酸对脑膜上皮细胞屏障功能的影响,2018.0,Chinese
175949,"Photocatalytic Generation of N-Centered Hydrazonyl Radicals: A Strategy for Hydroamination of beta,gamma-Unsaturated Hydrazones",2014.0,English
2123187,On code execution tracking via power side-channel,2016.0,English
1120212,交互关系对员工安全意识影响的研究,2017.0,Chinese
725300,A novel energy-efficient process for production of nitrogen from air via a reaction-driven membrane device,2017.0,English
995240,自适应安全的外包CP-ABE方案研究,2015.0,Chinese
785292,Physically-based seismic reliability evaluation of water distribution networks,2015.0,English
821107,自密实混凝土及其在叠合剪力墙中的应用,2014.0,Chinese
1213645,雷公藤多苷诱导生精障碍大鼠模型的建立,2015.0,Chinese
1533239,Influence of timing algorithm on brachial-ankle pulse wave velocity measurement,2014.0,English
98736,Ag离子注入Mo产生缺陷及缺陷退火行为的慢正电子束研究,2014.0,Chinese
2000529,Serum metabolomic profiling of human gastric cancer and its relationship with the prognosis,2017.0,English
1991510,PLGA微粒中蛋白稳定性和完全释放的研究进展,2012.0,Chinese
543057,Scenario-Based Economic Risk Assessment of Paddy Damage Caused by Floods in the Huai River Sub-Basin of China,2015.0,English
1638664,Zirconia incorporated calcium looping absorbents with superior sintering resistance for carbon dioxide capture from in situ or ex situ processes,2018.0,English
960987,Homotopy Approach for Energy-Efficient MIMO Systems With Zero-Forcing Transceivers,2017.0,English
2076695,"&lt;span style=&quot;font-family:&apos;Times New Roman&apos;,&apos;serif&apos;;font-size:10pt;&quot;&gt;Postnatal growth and age estimation in Marshall&apos;s horseshoe bat, &lt;i&gt;Rhinolophus marshalli&lt;/i&gt;&lt;/span&gt;",2012.0,English
556803,"Oriented inclusions of pyroxene, amphibole and rutile in garnet from the Luliangshan garnet peridotite massif, North Qaidam UHPM belt, NW China: an electron backscatter diffraction study",2017.0,English
1619666,Struvite Precipitation Induced by a Novel Sulfate-Reducing Bacterium Acinetobacter calcoaceticus SRB4 Isolated from River Sediment (SCI收录),2015.0,English
695992,Tracking the Fe-IV(O) intermediate and O-O bond formation of a nonheme iron catalyst for water oxidation,2017.0,English
995187,基于多阶段动态PCA的发酵过程故障监测,2012.0,Chinese
579236,Multi-Performance Optimal Gearshift Schedule of Stepped Automatic Transmissions Adaptive to Road Slope,2017.0,English
932712,Sampled-data distributed H-infinity control of a class of 1-D parabolic systems under spatially point measurements,2017.0,English
1739640,Synthesis of Sulfonated burdock fructooligosaccharide (BFO),2017.0,English
498760,黄土丘陵区不同植被土壤氮素转化微生物生理群特征及差异,2013.0,Chinese
379696,黄芪多糖对大鼠蛛网膜下腔出血后早期脑损伤的治疗作用,2017.0,Chinese
1871170,"Cu2S@ZnO hetero-nanostructures: facile synthesis, morphology-evolution and enhanced photocatalysis and field emission properties",2013.0,English
2274440,Cloud Model Bat Algorithm,2014.0,English
1554800,"Minimum dose, antigen content, and immunization duration of a trivalent vaccine of inactivated Haemophilus parasuis serovars 4, 5, and 12 against Gl？sser's disease in pigs",2016.0,English
2281909,一种基于软集和多属性综合的软件漏洞发现方法,2015.0,Chinese
2311732,Role of chloride channel in nitric-oxide induced rat hippocampal neuronal apoptosis in vitro,2010.0,English
106884,Combined effects of trapped energetic ions and resistive layer damping on the stability of the resistive wall mode,2016.0,English
912665,Finding vulnerable pairing-friendly curves for FR-reduction over finitefields of characteristic 2,2016.0,English
2175135,Enabling Access to the Confined Optical Field to Achieve High-Quality Plasmon Sensing,2015.0,English
173921,Three-dimensionally ordered macroporous CeO2-supported Pd@Co nanoparticles: Highly active catalysts for methane oxidation,2016.0,English
773951,Fiber Alignment and Liquid Crystal Orientation of Cellulose Nanocrystals in the Electrospun Nanofibrous Mats,2017.0,English
57737,EXISTENCE OF SOLUTIONS FOR (k; n-k-2) CONJUGATE BOUNDARY-VALUE PROBLEMS AT RESONANCE WITH dim kerL = 2,2013.0,English
293588,"Quantitative Microbial Risk Assessment to Estimate the Health Risk in Urban Drinking Water Systems of Mysore, Karnataka, India",2015.0,English
533519,RCP4.5情景下气候变化对中国春小麦生育期及种植界线的影响研究(英文),2016.0,Chinese
1841899,Photonics-Based Wideband Microwave Phase Shifter,2017.0,English
1496752,Zwitterion-functionalized polymer microspheres-based solid phase extraction method on-line combined with HPLC–ICP-MS for mercury speciation,2019.0,English
405738,FUT4过表达促进胚胎细胞与子宫内膜细胞的黏附,2011.0,Chinese
476038,不同时间尺度下旅游者重游意愿的影响机制研究——以西塘古镇为例,2016.0,Chinese
658093,Intrinsic uniaxial stress induced by co-doping and its influence on piezoelectric performance of PbZr0.45Ti0.55O3 ferroelectric,2018.0,English
1096953,优质教育资源对杭州学区房价格影响研究,2014.0,Chinese
1792172,Transmission of 3-Gb/s uncompressed HD video in a optoelectronic- oscillator-based radio over fiber link,2013.0,English
848058,"Vortex Filaments in Grids for Scalable, Fine Smoke Simulation",2015.0,English
361301,鸭坦布苏病毒E蛋白中和性单克隆杭体的制备,2012.0,Chinese
2053231,Topology Optimization for the Design of Conformal Cooling System in Thin-wall Injection Molding Based on BEM,2018.0,English
1747056,粒径控制对好氧颗粒污泥处理高含氮废水的影响,2016.0,Chinese
1927519,零售商主导型供应链渠道管理与悖论机制分析,2014.0,Chinese
175458,A critical theoretical study on linear and nonlinear optical properties of macrocyclic thiophene derivatives with different connecting pi-conjugated bridge and ring size,2012.0,English
1983121,&lt;span style=&quot;color:black;font-family:楷体;font-size:12pt;&quot;&gt;重症中暑肠淋巴激活血管内皮细胞炎性活性的研究&lt;/span&gt;,2014.0,Chinese
1394468,多功能纳米载体调控肿瘤细胞信号通路及其应用,2015.0,Chinese
1591375,秸秆类生物质热解的热重-红外联用分析,2015.0,Chinese
191091,Rhodium(III)-Catalyzed Alkenylation Reactions of 8-Methylquinolines with Alkynes by C(sp(3))-H Activation,2014.0,English
1621054,Genetic impacts induced by BaP and Pb in Mytilus coruscus: Can RAPD be a validated tool in genotoxicity evaluation both in vivo and in vitro?,2018.0,English
831995,超精密飞切加工表面生成影响因素研究,2015.0,Chinese
2076545,Modulation of LSD1 phosphorylation by CK2/WIP1 regulates RNF168-dependent 53BP1 recruitment in response to DNA damage,2015.0,English
272922,Advances in Photofunctional Dendrimers for Solar Energy Conversion,2014.0,English
576547,Thermal and Flow Field in a Single Board Compute Cabin System Using CFD Analysis,2014.0,English
1660248,激光冲击强化对TC17钛合金微观组织和力学性能的影响,2014.0,Chinese
2027501,Genomic study of the Type IVC secretion system in Clostridium difficile:      understanding C. difficile evolution via horizontal gene transfer.,2017.0,English
